日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260605,000852,中证1000,CSI 1000,000913,钱江摩托,Zhejiang Qianjiang Motorcycle Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000917,电广传媒,Hunan TV & Broadcast Intermediary Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000923,河钢资源,"HBIS Resources Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000927,中国铁物,China Railway Materials Company Limited,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000928,中钢国际,"Sinosteel Engineering & Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000930,中粮科技,"COFCO BIOTECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000935,四川双马,Sichuan Shuangma Cement Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000950,重药控股,"C.Q.Pharmaceutical Holding Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000966,长源电力,Guodian Changyuan Electric Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000969,安泰科技,Advanced Technology & Materials Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000970,中科三环,Beijing Zhong Ke San Huan High-Tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000990,诚志股份,Chengzhi Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001203,大中矿业,"Dazhong Mining Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
